HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:16932	NEBL	nebulette	Approved	gene with protein product		LASP2, LNEBL	10p12.31	10529	ENSG00000078114	OTTHUMG00000017788	1218	LIM domain containing
HGNC:7988	NRAP	nebulin related anchoring protein	Approved	gene with protein product			10q25.3	4892	ENSG00000197893	OTTHUMG00000019072	1218	LIM domain containing
HGNC:2067	PDLIM1	PDZ and LIM domain 1	Approved	gene with protein product	CLIM1	CLP-36, hCLIM1, CLP36	10q23.33	9124	ENSG00000107438	OTTHUMG00000018810	1218	LIM domain containing
HGNC:13992	PDLIM2	PDZ and LIM domain 2	Approved	gene with protein product			8p21.3	64236	ENSG00000120913	OTTHUMG00000164270	1218	LIM domain containing
HGNC:20767	PDLIM3	PDZ and LIM domain 3	Approved	gene with protein product		ALP	4q35.1	27295	ENSG00000154553	OTTHUMG00000160412	1218	LIM domain containing
HGNC:16501	PDLIM4	PDZ and LIM domain 4	Approved	gene with protein product		RIL	5q31.1	8572	ENSG00000131435	OTTHUMG00000059645	1218	LIM domain containing
HGNC:17468	PDLIM5	PDZ and LIM domain 5	Approved	gene with protein product		LIM, Enh	4q22.3	10611	ENSG00000163110	OTTHUMG00000130973	1218	LIM domain containing
HGNC:22958	PDLIM7	PDZ and LIM domain 7	Approved	gene with protein product		ENIGMA	5q35.3	9260	ENSG00000196923	OTTHUMG00000130853	1218	LIM domain containing
HGNC:17019	PRICKLE1	prickle planar cell polarity protein 1	Approved	gene with protein product		FLJ31937, EPM1B, RILP	12q12	144165	ENSG00000139174	OTTHUMG00000169443	1218	LIM domain containing
HGNC:20340	PRICKLE2	prickle planar cell polarity protein 2	Approved	gene with protein product		DKFZp686D143	3p14.1	166336	ENSG00000163637	OTTHUMG00000158789	1218	LIM domain containing
HGNC:6645	PRICKLE3	prickle planar cell polarity protein 3	Approved	gene with protein product	LMO6		Xp11.23	4007	ENSG00000012211	OTTHUMG00000024134	1218	LIM domain containing
HGNC:16805	PRICKLE4	prickle planar cell polarity protein 4	Approved	gene with protein product	C6orf49	OEBT, DKFZp761H221	6p21.1	29964	ENSG00000278224	OTTHUMG00000188149	1218	LIM domain containing
HGNC:9718	PXN	paxillin	Approved	gene with protein product			12q24.23	5829	ENSG00000089159	OTTHUMG00000169169	1218	LIM domain containing
HGNC:10573	SCEL	sciellin	Approved	gene with protein product		FLJ21667, MGC22531	13q22.3	8796	ENSG00000136155	OTTHUMG00000017107	1218	LIM domain containing
HGNC:14620	TES	testin LIM domain protein	Approved	gene with protein product		DKFZP586B2022, TESS-2, TESTIN	7q31.2	26136	ENSG00000135269	OTTHUMG00000023092	1218	LIM domain containing
HGNC:11767	TGFB1I1	transforming growth factor beta 1 induced transcript 1	Approved	gene with protein product		Hic-5, TSC-5, ARA55, HIC-5	16p11.2	7041	ENSG00000140682	OTTHUMG00000132467	1218	LIM domain containing
HGNC:14303	XIRP2	xin actin binding repeat containing 2	Approved	gene with protein product	CMYA3		2q24.3	129446	ENSG00000163092	OTTHUMG00000154027	1218	LIM domain containing
HGNC:12976	ZNF185	zinc finger protein 185 with LIM domain	Approved	gene with protein product		SCELL	Xq28	7739	ENSG00000147394	OTTHUMG00000024187	1218	LIM domain containing
HGNC:6616	LIMS1	LIM zinc finger domain containing 1	Approved	gene with protein product		PINCH, PINCH1	2q12.3	3987	ENSG00000169756	OTTHUMG00000130983	1163	LIM zinc finger domain containing
HGNC:16084	LIMS2	LIM zinc finger domain containing 2	Approved	gene with protein product		PINCH2, PINCH-2	2q14.3	55679	ENSG00000072163	OTTHUMG00000131529	1163	LIM zinc finger domain containing
HGNC:30047	LIMS3	LIM zinc finger domain containing 3	Approved	gene with protein product			2q13	96626	ENSG00000256977	OTTHUMG00000191772	1163	LIM zinc finger domain containing
HGNC:39941	LIMS4	LIM zinc finger domain containing 4	Approved	gene with protein product	LIMS3L		2q13	100288695	ENSG00000256671	OTTHUMG00000169984	1163	LIM zinc finger domain containing
HGNC:7960	NR0B1	nuclear receptor subfamily 0 group B member 1	Approved	gene with protein product	AHC, DSS	DAX1, AHCH	Xp21.2	190	ENSG00000169297	OTTHUMG00000021323	71	Nuclear hormone receptors
HGNC:7961	NR0B2	nuclear receptor subfamily 0 group B member 2	Approved	gene with protein product		SHP	1p36.11	8431	ENSG00000131910	OTTHUMG00000004231	71	Nuclear hormone receptors
HGNC:11796	THRA	thyroid hormone receptor alpha	Approved	gene with protein product	THRA1, THRA2, ERBA1	EAR-7.1/EAR-7.2, THRA3, AR7, ERBA, NR1A1	17q21.1	7067	ENSG00000126351	OTTHUMG00000133332	71	Nuclear hormone receptors
HGNC:11799	THRB	thyroid hormone receptor beta	Approved	gene with protein product	ERBA2, PRTH	THRB1, THRB2, NR1A2, THR1, ERBA-BETA, GRTH	3p24.2	7068	ENSG00000151090	OTTHUMG00000130478	71	Nuclear hormone receptors
HGNC:9864	RARA	retinoic acid receptor alpha	Approved	gene with protein product		RAR, NR1B1	17q21.2	5914	ENSG00000131759	OTTHUMG00000133328	71	Nuclear hormone receptors
HGNC:9865	RARB	retinoic acid receptor beta	Approved	gene with protein product		HAP, NR1B2, RRB2	3p24.2	5915	ENSG00000077092	OTTHUMG00000130480	71	Nuclear hormone receptors
HGNC:9866	RARG	retinoic acid receptor gamma	Approved	gene with protein product		RARC, NR1B3	12q13.13	5916	ENSG00000172819	OTTHUMG00000048077	71	Nuclear hormone receptors
HGNC:9232	PPARA	peroxisome proliferator activated receptor alpha	Approved	gene with protein product	PPAR	hPPAR, NR1C1	22q13.31	5465	ENSG00000186951	OTTHUMG00000150443	71	Nuclear hormone receptors
HGNC:9235	PPARD	peroxisome proliferator activated receptor delta	Approved	gene with protein product		NUC1, NUCII, FAAR, NR1C2	6p21.31	5467	ENSG00000112033	OTTHUMG00000014567	71	Nuclear hormone receptors
HGNC:9236	PPARG	peroxisome proliferator activated receptor gamma	Approved	gene with protein product		PPARG1, PPARG2, NR1C3, PPARgamma	3p25.2	5468	ENSG00000132170	OTTHUMG00000129764	71	Nuclear hormone receptors
HGNC:7962	NR1D1	nuclear receptor subfamily 1 group D member 1	Approved	gene with protein product	THRAL	ear-1, hRev, Rev-ErbAalpha, THRA1, REVERBA, REVERBalpha	17q21.1	9572	ENSG00000126368	OTTHUMG00000133327	71	Nuclear hormone receptors
HGNC:7963	NR1D2	nuclear receptor subfamily 1 group D member 2	Approved	gene with protein product		BD73, RVR, EAR-1r, HZF2, Hs.37288, REVERBB, REVERBbeta	3p24.2	9975	ENSG00000174738	OTTHUMG00000155659	71	Nuclear hormone receptors
HGNC:10258	RORA	RAR related orphan receptor A	Approved	gene with protein product		RZRA, ROR1, ROR2, ROR3, NR1F1	15q22.2	6095	ENSG00000069667	OTTHUMG00000132769	71	Nuclear hormone receptors
HGNC:10259	RORB	RAR related orphan receptor B	Approved	gene with protein product		RZRB, NR1F2, ROR-BETA	9q21.13	6096	ENSG00000198963	OTTHUMG00000020026	71	Nuclear hormone receptors
HGNC:10260	RORC	RAR related orphan receptor C	Approved	gene with protein product		RZRG, RORG, NR1F3, TOR	1q21	6097	ENSG00000143365	OTTHUMG00000013053	71	Nuclear hormone receptors
HGNC:7965	NR1H2	nuclear receptor subfamily 1 group H member 2	Approved	gene with protein product	UNR	NER, NER-I, RIP15, LXR-b, LXRb	19q13.3	7376	ENSG00000131408	OTTHUMG00000183036	71	Nuclear hormone receptors
HGNC:7966	NR1H3	nuclear receptor subfamily 1 group H member 3	Approved	gene with protein product		LXR-a, RLD-1, LXRa	11p11.2	10062	ENSG00000025434	OTTHUMG00000150628	71	Nuclear hormone receptors
HGNC:7967	NR1H4	nuclear receptor subfamily 1 group H member 4	Approved	gene with protein product		FXR, RIP14, HRR1, HRR-1	12q23.1	9971	ENSG00000012504	OTTHUMG00000170359	71	Nuclear hormone receptors
HGNC:32673	NR1H5P	nuclear receptor subfamily 1 group H member 5, pseudogene	Approved	pseudogene		Fxrb, NR1H5	1p13.2	643609	ENSG00000227970	OTTHUMG00000012058	71	Nuclear hormone receptors
HGNC:12679	VDR	vitamin D receptor	Approved	gene with protein product		NR1I1, PPP1R163	12q13.11	7421	ENSG00000111424	OTTHUMG00000169890	71	Nuclear hormone receptors
HGNC:7968	NR1I2	nuclear receptor subfamily 1 group I member 2	Approved	gene with protein product		ONR1, PXR, BXR, SXR, PAR2	3q13.33	8856	ENSG00000144852	OTTHUMG00000159400	71	Nuclear hormone receptors
HGNC:7969	NR1I3	nuclear receptor subfamily 1 group I member 3	Approved	gene with protein product		MB67, CAR1, CAR	1q23.3	9970	ENSG00000143257	OTTHUMG00000034347	71	Nuclear hormone receptors
HGNC:5024	HNF4A	hepatocyte nuclear factor 4 alpha	Approved	gene with protein product	TCF14, MODY, MODY1	NR2A1, HNF4	20q13.12	3172	ENSG00000101076	OTTHUMG00000032531	71	Nuclear hormone receptors
HGNC:5026	HNF4G	hepatocyte nuclear factor 4 gamma	Approved	gene with protein product		NR2A2	8q21.13	3174	ENSG00000164749	OTTHUMG00000149920	71	Nuclear hormone receptors
HGNC:10477	RXRA	retinoid X receptor alpha	Approved	gene with protein product		NR2B1	9q34.2	6256	ENSG00000186350	OTTHUMG00000020887	71	Nuclear hormone receptors
HGNC:10478	RXRB	retinoid X receptor beta	Approved	gene with protein product		NR2B2, H-2RIIBP, RCoR-1	6p21.32	6257	ENSG00000204231	OTTHUMG00000031298	71	Nuclear hormone receptors
HGNC:10479	RXRG	retinoid X receptor gamma	Approved	gene with protein product		NR2B3	1q23.3	6258	ENSG00000143171	OTTHUMG00000034626	71	Nuclear hormone receptors
HGNC:7971	NR2C1	nuclear receptor subfamily 2 group C member 1	Approved	gene with protein product	TR2	TR2-11	12q22	7181	ENSG00000120798	OTTHUMG00000170131	71	Nuclear hormone receptors
HGNC:7972	NR2C2	nuclear receptor subfamily 2 group C member 2	Approved	gene with protein product	TR4	TAK1, TR2R1, hTAK1	3p25.1	7182	ENSG00000177463	OTTHUMG00000129839	71	Nuclear hormone receptors
HGNC:7973	NR2E1	nuclear receptor subfamily 2 group E member 1	Approved	gene with protein product	TLX	TLL, XTLL	6q21	7101	ENSG00000112333	OTTHUMG00000015319	71	Nuclear hormone receptors
HGNC:7974	NR2E3	nuclear receptor subfamily 2 group E member 3	Approved	gene with protein product		PNR, rd7, RP37	15q23	10002	ENSG00000278570	OTTHUMG00000172841	71	Nuclear hormone receptors
HGNC:7975	NR2F1	nuclear receptor subfamily 2 group F member 1	Approved	gene with protein product	ERBAL3, TFCOUP1	EAR-3, COUP-TFI, TCFCOUP1, SVP44, COUPTF1	5q15	7025	ENSG00000175745	OTTHUMG00000119079	71	Nuclear hormone receptors
HGNC:7976	NR2F2	nuclear receptor subfamily 2 group F member 2	Approved	gene with protein product	ARP1, TFCOUP2	COUP-TFII, COUPTFB, SVP40, NF-E3, COUPTF2	15q26.2	7026	ENSG00000185551	OTTHUMG00000149848	71	Nuclear hormone receptors
HGNC:7977	NR2F6	nuclear receptor subfamily 2 group F member 6	Approved	gene with protein product	ERBAL2	EAR-2, EAR2	19p13.11	2063	ENSG00000160113	OTTHUMG00000182728	71	Nuclear hormone receptors
HGNC:3467	ESR1	estrogen receptor 1	Approved	gene with protein product	ESR	NR3A1, Era, ER-alpha	6q25.1-q25.2	2099	ENSG00000091831	OTTHUMG00000016103	71	Nuclear hormone receptors
HGNC:3468	ESR2	estrogen receptor 2	Approved	gene with protein product		NR3A2, Erb, ER-beta	14q23.2-q23.3	2100	ENSG00000140009	OTTHUMG00000141306	71	Nuclear hormone receptors
HGNC:3471	ESRRA	estrogen related receptor alpha	Approved	gene with protein product	ESRL1	ERR1, ERRalpha, NR3B1, ERRa	11q13.1	2101	ENSG00000173153	OTTHUMG00000150641	71	Nuclear hormone receptors
HGNC:3473	ESRRB	estrogen related receptor beta	Approved	gene with protein product	ESRL2, DFNB35	ERR2, ERRbeta, NR3B2, ERRb	14q24.3	2103	ENSG00000119715	OTTHUMG00000160457	71	Nuclear hormone receptors
HGNC:3474	ESRRG	estrogen related receptor gamma	Approved	gene with protein product		NR3B3, ERRg, ERR-gamma	1q41	2104	ENSG00000196482	OTTHUMG00000037025	71	Nuclear hormone receptors
HGNC:7978	NR3C1	nuclear receptor subfamily 3 group C member 1	Approved	gene with protein product	GRL	GR	5q31.3	2908	ENSG00000113580	OTTHUMG00000129677	71	Nuclear hormone receptors
HGNC:7979	NR3C2	nuclear receptor subfamily 3 group C member 2	Approved	gene with protein product	MLR	MR	4q31	4306	ENSG00000151623	OTTHUMG00000161455	71	Nuclear hormone receptors
HGNC:8910	PGR	progesterone receptor	Approved	gene with protein product		PR, NR3C3	11q22.1	5241	ENSG00000082175	OTTHUMG00000167531	71	Nuclear hormone receptors
HGNC:644	AR	androgen receptor	Approved	gene with protein product	DHTR, SBMA	AIS, NR3C4, SMAX1, HUMARA	Xq12	367	ENSG00000169083	OTTHUMG00000021740	71	Nuclear hormone receptors
HGNC:7980	NR4A1	nuclear receptor subfamily 4 group A member 1	Approved	gene with protein product	HMR, GFRP1	TR3, N10, NAK-1, NGFIB, NUR77	12q13.13	3164	ENSG00000123358	OTTHUMG00000150393	71	Nuclear hormone receptors
HGNC:7981	NR4A2	nuclear receptor subfamily 4 group A member 2	Approved	gene with protein product	NURR1	TINUR, NOT, RNR1, HZF-3	2q22-q23	4929	ENSG00000153234	OTTHUMG00000131950	71	Nuclear hormone receptors
HGNC:7982	NR4A3	nuclear receptor subfamily 4 group A member 3	Approved	gene with protein product		CSMF, CHN, NOR1, MINOR	9q22	8013	ENSG00000119508	OTTHUMG00000021030	71	Nuclear hormone receptors
HGNC:7983	NR5A1	nuclear receptor subfamily 5 group A member 1	Approved	gene with protein product	FTZF1	FTZ1, SF-1, ELP, AD4BP, hSF-1, SF1	9q33.3	2516	ENSG00000136931	OTTHUMG00000020655	71	Nuclear hormone receptors
HGNC:7984	NR5A2	nuclear receptor subfamily 5 group A member 2	Approved	gene with protein product	FTF	FTZ-F1beta, hB1F, LRH-1, FTZ-F1, hB1F-2, B1F2, LRH1	1q32.1	2494	ENSG00000116833	OTTHUMG00000035635	71	Nuclear hormone receptors
HGNC:7985	NR6A1	nuclear receptor subfamily 6 group A member 1	Approved	gene with protein product	GCNF	GCNF1, RTR, CT150	9q33.3	2649	ENSG00000148200	OTTHUMG00000020661	71	Nuclear hormone receptors
HGNC:360	AIRE	autoimmune regulator	Approved	gene with protein product	APECED	PGA1, APS1	21q22.3	326	ENSG00000160224	OTTHUMG00000086921	88	PHD finger proteins
HGNC:19088	ASH1L	ASH1 like histone lysine methyltransferase	Approved	gene with protein product		huASH1, ASH1, ASH1L1, KMT2H	1q22	55870	ENSG00000116539	OTTHUMG00000014011	88	PHD finger proteins
HGNC:744	ASH2L	ASH2 like, histone lysine methyltransferase complex subunit	Approved	gene with protein product	ASH2L1	ASH2L2, ASH2, Bre2	8p11.23	9070	ENSG00000129691	OTTHUMG00000164016	88	PHD finger proteins
HGNC:960	BAZ1A	bromodomain adjacent to zinc finger domain 1A	Approved	gene with protein product		hACF1, ACF1, WALp1, WCRF180	14q13.1-q13.2	11177	ENSG00000198604	OTTHUMG00000140216	88	PHD finger proteins
HGNC:961	BAZ1B	bromodomain adjacent to zinc finger domain 1B	Approved	gene with protein product	WBSCR9, WBSCR10	WSTF	7q11.23	9031	ENSG00000009954	OTTHUMG00000023847	88	PHD finger proteins
HGNC:962	BAZ2A	bromodomain adjacent to zinc finger domain 2A	Approved	gene with protein product		KIAA0314, TIP5, WALp3	12q13.3	11176	ENSG00000076108	OTTHUMG00000170332	88	PHD finger proteins
HGNC:963	BAZ2B	bromodomain adjacent to zinc finger domain 2B	Approved	gene with protein product		WALp4	2q24.2	29994	ENSG00000123636	OTTHUMG00000132027	88	PHD finger proteins
